country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
IDX,2024,1424.84597936669,1814046621127.36,7.11475951738199,,67.3068700263257,36.2034392023377,1.52052811397164,89.9578014014731
IND,2024,2480.79208721621,3567551674623.01,4.95303550973656,81.8,34.9,48.3948115195574,2.87437715914272,83.3549988912735
IRL,2024,103887.800388081,551394889339.778,2.11344999577317,0.3,12.7,8.17058601306707,10.9000866681739,21.2897399483781
IRN,2024,4465.63766994952,404625655204.619,44.5791857572797,21.9,0.9,32.2873733599003,11.0006282288081,213.035780996849
IRQ,2024,5565.12644647176,250842782139.464,4.35835351089586,24.7,1.1,38.1750699787954,8.04864013880803,105.392187334788
ISL,2024,79636.9548578508,31325116556.3807,5.85683849970066,0.0,82.4,5.10554827500189,10.6061029772543,237.411059441327
ISR,2024,52642.4267486308,513611100815.691,3.07052614744924,3.5,6.2,18.5982756348314,8.15634544820942,50.8604800163511
ITA,2024,39003.3160954123,2300941152991.81,0.982373023061417,1.7,17.5,14.6586386239905,6.34178949451613,44.0329365283216
JAM,2024,6839.72503886968,19423355409.2316,5.41194447981659,13.9,10.5,17.413637041591,2.87447716130723,96.1948720779209
JOR,2024,4455.50540514568,50967475352.1127,2.08486986327134,8.2,11.5,28.7737639174179,2.9204544053861,81.4006754945631
JPN,2024,33766.5268253808,4204494802431.55,2.73853681635241,1.4,8.8,12.835201662985,8.36043051270653,66.2230279384177
KAZ,2024,12918.8661346014,262641892078.524,4.85655589318192,10.6,2.0,20.0278724259165,15.7574206211636,106.317500869588
KEN,2024,1952.30457929636,108038588970.595,4.48978854243448,91.3,67.7,24.3917906517518,1.95118983260324,95.6830512332733
KGZ,2024,1970.15780961839,13987627908.8381,10.7532770416742,60.1,27.6,24.3817252281764,3.05619211944083,105.054980475141
KHM,2024,2429.74853452838,42335646895.7984,2.12746796594194,,52.4,24.1436022803452,2.79930761690278,77.693119885047
KIR,2024,2106.76000405677,279208903.337644,9.28307374517721,68.9,41.9,11.2568272545112,0.982419074926432,
KNA,2024,22573.6724791004,1055499777.77778,3.55711230848243,,1.5,8.5943079884613,3.73198169297233,
KOR,2024,33121.3712885508,1712792854202.37,2.32174328643542,0.5,3.6,25.9439899531653,12.6438403748222,106.143139142958
KWT,2024,33729.7985494456,163704878875.85,2.89855072463762,,0.1,53.7151434413218,34.5974179032517,179.066841142596
LAC,2024,10180.7055245454,6057469575864.84,4.63202285403356,,34.9291087228736,15.4743053040199,5.2078725802144,67.8889895892377
LAO,2024,2066.94979776957,15843155731.2552,23.1305695942588,70.5,49.2,22.3176670505669,5.48678909426271,99.6069005119529
LBN,2024,3654.35845534878,20992421948.8081,221.341644023365,1.7,6.8,19.2310172881236,4.27337488761136,53.812324236877
LBR,2024,771.887142089677,4240000000.0,10.0944535665552,88.9,92.8,42.3616590279287,0.825118227077182,
LBY,2024,6172.81246940233,45096462972.4014,2.12615766885025,,3.1,32.9707065002742,13.130889355772,221.646396002241
LCA,2024,13554.6651875402,2430148148.14815,4.07060821926204,8.4,9.7,23.7585855502375,2.51722118414814,
LCN,2024,10796.8623721014,7100142198622.08,4.63066263911662,25.2,33.9329422959945,15.6429987157206,5.32200137458615,67.9824670379839
LDC,2024,1306.23478492715,1516309568380.52,7.12697482131851,,70.9349084202493,35.8831468849027,1.49837519977747,94.4638253665001
LKA,2024,3827.96495637489,84356863743.6335,-0.42936004906973,49.3,48.8,19.9644408635608,1.74269637427962,35.7692062219731
LMY,2024,5658.54749596439,37533765909928.0,6.09114152504141,54.3,25.2624895725564,35.3460845675032,5.09841134666883,99.5980499527694
LSO,2024,916.282979328622,2117962450.79469,6.10544624245032,81.0,34.9,23.4391013240086,1.125646341379,
LTE,2024,12184.2070837954,28348483457826.9,5.9801225620013,,15.7680400930135,28.2336110044952,10.3020779016428,113.731653431085
LTU,2024,27786.0057829276,79789877416.1681,0.715735835228723,1.2,33.2,9.21893860360944,7.20288621092533,50.6969136338258
LUX,2024,128678.189942826,85755006123.5976,2.05113269954859,0.3,20.5,8.67476189540246,11.7955374157826,35.6873684615906
LVA,2024,22502.8429938094,42247850064.5125,1.26579885828729,2.1,44.0,11.6020322023647,5.83638934828983,61.777698796049
MAC,2024,67476.5290813306,45803067940.4072,0.476384495788075,,11.0,,4.59487330583382,
MAR,2024,3771.4462890625,144417103249.646,0.985256592004507,42.1,10.9,21.3212642117301,2.82670695038688,68.5367858805565
MDA,2024,6729.41286813969,16539436547.295,4.67773516007048,14.4,21.4,14.7583463021422,5.51000637566457,93.0348204428297
MDG,2024,506.159368687808,15790113246.7478,9.87432675044888,98.2,83.1,12.7535199510191,1.06266419608813,190.232022953071
MDV,2024,12530.3602359683,6590894301.9579,1.39979779674928,3.9,1.2,12.0123911668511,5.87078940063955,
MEA,2024,8499.84306394222,4320566779119.19,4.22535211267609,45.1,1.99565037758443,37.6093370276893,7.9502709100593,117.918458083685
MEX,2024,13790.0243428344,1789114434843.46,4.72225588452932,21.8,13.0,14.9923440243315,5.48869602879407,64.0276300656755
MHL,2024,6678.34239060448,259300000.0,,31.5,12.2,10.7256194470999,0.0695392381590131,
MIC,2024,6254.08764955685,36878123654872.8,6.0752438457966,,23.3864364958289,35.4060764804198,5.55529010636769,98.7030721135057
MKD,2024,8624.29360948531,15763621848.115,3.48974086026947,19.0,19.5,26.118651401474,6.22053861001326,64.8764750184439
MLI,2024,869.270234286992,20661794596.0873,3.20639864099652,85.9,71.1,56.7830489222988,1.91269540526247,
MLT,2024,40395.7692064458,22328640241.5553,5.09396758978883,0.8,8.6,11.7226648774147,3.67962196086094,25.2368964107871
MMR,2024,1233.19666209269,66757619000.0,8.82506696804558,68.2,62.9,32.3150340028667,2.12579394484754,74.6702041576302
MNA,2024,3797.10418034163,1671174615296.29,6.09114152504141,,2.92749471936677,36.399212253802,5.36167618557004,112.747140441533
MNG,2024,5838.63108083902,20325121393.9074,6.80284899332961,22.1,3.0,29.6547866481682,24.0451345749746,123.486442145356
MNP,2024,23785.754590043,1096000000.0,,,0.5,9.71463085081006,0.0642403030370157,
MOZ,2024,622.985619320596,20954220983.5473,7.12697482131851,96.1,76.9,20.0802484321177,1.00947936623462,242.869945391988
MRT,2024,2120.82320358953,10651709411.4594,4.95305034506872,68.0,19.6,70.8224442103687,3.2871068072278,
MUS,2024,11613.0441587588,14644524819.0054,4.10263226568006,13.5,8.6,9.15296880580014,4.91554200061695,44.1271938641431
MWI,2024,602.343619809252,12712150082.0792,32.1796504225025,97.3,62.9,23.6983194353464,0.934119112707907,
MYS,2024,11379.0861000632,399705169318.477,1.834100204499,2.3,7.5,16.1938532237922,9.26387972908503,89.3756967974716
